courseCode,academicUnits,title,description
MH1805,4,Calculus,"This course aims to equip you with the subject knowledge, logical reasoning and analytical skills so that you are able to apply the concepts and techniques of calculus of one variable to solve problems encountered in science."
MH2500,4,Probability and Introduction to Statistics,"This is a core mathematical course, aiming to develop your understanding of fundamental concepts in probability and statistics such as random variables, independence, basic probability distributions, and confidence intervals. The course also prepares you for further statistics courses such as MH3500 in the Statistics Track."
MH2802,3,Linear Algebra for Scientists,"This course aims to support you in acquiring a wider range of mathematical concepts related to vector spaces and linear algebra, while also developing a strong set of mathematical skills for upper-level Physical and Computing Science courses. Through a mathematical approach to problem-solving, you will have the opportunity to develop thinking, reasoning, communication, and modelling skills. Additionally, the course aims to help you connect ideas within mathematics and apply mathematical principles in the context of Physical and Computing Science courses. Ultimately, this course seeks to provide an experience that fosters an appreciation for the rigour and abstraction in the discipline."
SC3021,3,Data Science Fundamentals,
MH3500,4,Statistics,"This course aims to develop your understanding of the statistical concepts of parameter estimation and hypothesis testing that are fundamental for real life applications of statistics as well as for numerous further courses in the curriculum of the statistics track. Further topics in statistics, including: random samples, sample mean and sample variance, distributions derived from the normal distribution, the central lmit theorem; parameter estimation and quality criteria for parameter estimators; the construction of good estimators; method of moments and maximum likelihood method; asymptotic properties of estimators, Cramer-Rao bound and efficient estimators; confidence intervals for estimators; hypothesis testing and Fisher-type tests; Neyman-Pearson tests and Neyman-Pearson Lemma."
MH3511,3,Data Analysis with Computer,"In today's business, data analysis plays an important role in making decisions more scientific and helping the business achieve effective operation. By closely examining data we can find patterns to perceive information, and the information can be used to enhance knowledge. This course provides basic concepts for data analysis with the usage of the R programming language. You will learn the skills of plotting, summarising, making inferences, and presenting various types of data."
HW0218,2,Communication Across the Sciences,"The aim of the course is to enhance the abilities of science students to recognize and employ effective skills and strategies for written and oral communication in both academic and public settings. On the one hand, the emphasis of this course is on basic micro skills in scientific communication such as searching academic databases, critically reading scientific texts, citing from sources, composing scientific arguments, and making effective presentations. On the other hand, it introduces you to the conventions of scientific texts such as annotated bibliographies and proposals that require a combination of informative, evaluative, and persuasive writing skills. In addition, you will have an opportunity to share your ideas with your peers through group discussions, in-class presentations on current scientific topics and poster presentations of your proposals. Using a pre-determined set of evaluation criteria, you will give feedback to your peers on the course assignments, under the supervision of your tutors. The course will culminate with a poster presentation session where you will present your proposals to the wider scientific community in your schools for an authentic communication experience. Through this course, it is hoped that you will become better communicators when conveying your scientific ideas in writing and speech to your peers and an educated audience."
MH2100,4,Calculus III,"Calculus III is a core Mathematics course that extends concepts and techniques developed in Calculus I and Calculus II to the case of functions of several real variables. In other words, we try to do the same things as in Calculus I and II, but in higher dimensions. In this course, we shall discuss the notions of limits, continuity, derivatives and integrals of real-valued and vector-valued functions of many variables. Most of the time, extending these familiar notions from one to several variables requires some degree of ingenuity, and we are going to have to spice up the material from Calculus I and II with a little bit of geometry and linear algebra. Techniques learned in Calculus III are essential for financial analysts, engineers, and for further study in mathematics."
SD3920,10,Professional Internship (Graded),
SC1015,3,Introduction to Data Science & Artificial Intelligence,"This course will start with the core principles of Data Science, and will equip you with the basic tool and techniques of data handling, exploratory data analysis, data visualization, data-based inference, and data-focussed communication. The course will also introduce you to the fundamentals of Artificial Intelligence - state space representation, uninformed search, and reinforcement learning. The course will motivate you to work closely with data and make data-driven decisions in your field of study. The course will also touch upon ethical issues in Data Science and Artificial Intelligence, and motivate you to explore the cutting-edge applications related to Big Data, Neural Networks and Deep Learning. Python will be the language of choice to introduce hands-on computational techniques."
SC4025,3,Developing Data Products,"Data products are products whose principal thrust is to use data to facilitate certain end goals. These products may exhibit varied levels of complexity, spanning from being raw and derived data, intelligence and services derived from or driven by data, enabled by algorithmic and statistical tools such as machine learning. In many data products, the role of data can be subtle and the overall product may be composed of other modules, which could be more prominent in appearance. The scope of this course is confined to the exploration of the life-cycle of typical data products that deploy data-science dominantly or exclusively. We will deconstruct individual components across the full stack: ranging from data acquisition, wrangling and storage, testing, validation, and refinement - spanning exploratory analysis, issues of visualization and presentation, and application of machine learning techniques for decision support, anomaly detection and recommendation systems. We will explore this course with hands-on examples, illustrating how some data products utilize only a subset of these components, while others deploy the wider gamut. This course will also expose techniques to handle various kinds of data on their own and in conjunction, e.g., natural language data, datetime and timeseries, geoseries and graph data; the underlying systems and algorithms to support, analyze and learn using such data to build data products. Overall, in this course, we will describe several fundamental principles, and we will illustrate them in action using hands-on examples and tools. The choice of algorithms and software packages will be representative but not exhaustive. As such, the detailed description of course content uses 'e.g.,' to give possible indicative instances, but the actual delivery of the course may choose other tools, programming languages, frameworks and examples (including or excluding the indicative instances). Furthermore, the instantiation of tools and examples could vary over time, based on practical considerations, e.g., maturity and popularity of the tools among practitioners. The course will be delivered inter-mixing live lectures and hands-on exercises blended with some parts of the lectures offered in pre-recorded TEL format and curated reading materials."
MH3510,4,Regression Analysis,"This course aims to develop your understanding/grasping of the regression models of summarizing the relationship among variables. Linear regression models are widely used today in business, administration, economics, engineering, and the social, health and biological sciences. You should learn the rigorous way to approach regression models and be able to build regression models for real data."
MH3701,4,Basic Optimisation,"This is a first course in mathematical optimization. It builds the basic knowledge and skills in the theory and techniques of analysing and solving simple optimization models. With these foundations, you will be able to deepen your understanding of more complex optimization models, and their applications to various disciplines in subsequent mathematical optimization and operations research courses."
MH4500,4,Time Series Analysis,"This course provides an introduction to various time series models. It aims to develop your understanding of fundamental models in time series analysis and enable you to build time series models for read data.Introduction to time series models and their applications in economics, engineering and finance. Topics include: trend fitting, autoregressive and moving average models, spectral analysis; seasonality, forecasting and estimation; and the use of computer package to analyze real data sets."
MH4501,4,Multivariate Analysis,"This course focuses on the standard methods of multivariate statistical analysis. Many essential data analysis techniques, such as principal component analysis and discriminant analysis, will be covered. This course equips students with the necessary skills for being data analysts.Distribution theory: multivariate normal distribution, Hotelling's T2 and Wishart distributions; inference on the mean and covariance, principal components and canonical correlation; factor analysis, discrimination and classification."
MH4511,4,Sampling & Survey,"1. Probability Sampling a Types of Probability Samples b Simple Random Sampling c Estimation of Population Mean, Proportion and Total d Sample Size Estimation e Systematic Sampling 2. Stratified Sampling a Theory of Stratified Sampling b Sampling Weights c Estimation of Population Mean, Proportion and Total d Allocating Observations to Strata e Sample Size Estimation f Defining Strata g Post-stratification 3. Ratio and Regression Estimations a Ratio Estimation b Regression Estimation c Selecting the Sample Size d Relative Efficiency of Estimators 4. Cluster Sampling a One-Stage and Two-Stage Cluster Samplings b Estimation of Population Mean, Proportion and Total c Selecting the Sample Size d Cluster Sampling with Probability Proportional to Size 5. Sampling with Unequal Probabilities a One-Stage Sampling with Replacement b Two-Stage Sampling with Replacement c Unequal-Probability Sampling without Replacement 6. Nonresponse a Effects of Ignoring Nonresponse b Call backs and Two-Phase Sampling c Weighting Methods for Nonresponse d Imputation"
MH4513,4,Survival Analysis,"The course will introduce statistical methods used to analysis time-to-event data. Time-to-event or failure time data, and associated covariate data can be collected under a variety of sampling schemes and very commonly involves right censoring. The distribution of a time-to-event variable is often characterized in terms of its survival or hazard function. The course will cover fundamentals in survival analysis, with emphasis on statistical principal, methods and real life applications. The course will also motivate students to work closely with data and make inference nonparametrically and/or parametrically in the fields of study."
MH4515,4,Applied Bayesian Statistics,
MH4516,4,Applied Categorical Data Analysis,
MH4517,4,Data Applications in Natural Sciences,"This course aims to provide the recent progress on geometric data analysis, topological data analysis, the combination with machine learning models, and their applications in nature data analysis. In this course you will develop skills in geometric and topological modeling, and the analysis of complicated physical/chemical/biological data. Topological data analysis models, including simplicial complex, nerve theorem, homology, cohomology, filtration, persistent homology, Morse theory, Hodge-Laplacian, Reeb graph. Geometric data analysis models, including multidimensional scaling, isomap, diffusion map, spectral graph, manifold learning, differential forms. Geometry and topology based learning, including data representation, feature engineering, molecular/chemical descriptors, graph neural network."
MH4518,4,Simulation Techniques in Finance,"This course aims to equip you with standard and advanced simulation techniques and cover their applications in finance, including derivatives pricing and risk management. In this course, you will develop skills in modelling and simulating time series data, and based on which you will be able to devise solutions to quantitative finance problems. Generating random numbers and random variables, generating Brownian motion and other diffusion processes, variance reduction techniques, introduction to futures, options, and other derivatives, pricing exotic options with simulations, estimating sensitivities of derivatives with simulations, and applications in risk management"
CS4022,4,Social Media Mining,This course covers how to analyse unstructured data such as social media content using text mining techniques. Students will learn various text mining techniques and tools both through lectures and hands-on exercises in labs. The course will also explore various usages of text mining techniques to real world applications.
CS4031,4,Media Planning and Strategies,
AB1202,3,Statistics & Analysis,This course introduces the concepts and methods of statistical inferences: the process of inferring unknowns under uncertainty. Students of this course will also learn programming skills in the R environment for basic statistical analyses. This course consists of three main sections. Section 1 covers elements of probability models. Section 2 covers the basic theories in statistical inferences. Section 3 introduces the basic of two powerful and widely used analytic tools: regression and simulation analysis. Each weekly topic will be supplemented with relevant computer applications in the R environment.
AB1301,3,Business Law,"The aim of this course is to provide students with the foundational and intellectual skills to navigate the legal aspects of business. Specifically, this course provides a solid foundation on the legal methodology and the main principles of law relating to business transactions. A number of topics will be discussed in this course ranging from the formation of contracts, terms of a contract, breach and termination of a contract, law of agency, business organisations and torts. At the completion of this course, students will gain foundational competencies in how commercial law and business practices inter-relate and often influence each other in shaping modern commerce and industry. Key legal topics will be explained and illustrated from a business perspective. At the completion of this course, students will also gain a deeper understanding of the legal issues impacting on businesses
 "
AD1102,3,Financial Accounting,"This course aims to provide you with the necessary introductory accounting knowledge to understand how to use financial statement information to make economic decisions from a user perspective such as investors and creditors. In the process, you will learn to prepare a basic set of financial statements in accordance with the Singapore Financial Reporting Standards. The course also examines the impact of various accounting choices on the financial statements and the incentives that contracts based on accounting numbers can create for different stakeholders. This will help you understand why managers choose certain accounting methods and avoid others. This learning forms the foundation for further studies in areas which require accounting knowledge.
"
AB1601,3,Organisational Behaviour and Design,"Business is in the midst of a revolutionary transformation. Emerging technologies that combine AI, machine learning, cutting-edge visualization techniques, and social robots are fast revolutionizing the business workplace globally. Building a motived workforce is a critical responsibility of managers. To do so, managers must know why people behave in organizations the way they do. Research in cognitive sciences, artificial intelligence and neuroscience has generated significant insights that can enrich our knowledge of people. This course is designed to focus on processes and methods that can improve the attitudes and behaviors of organizational members. You will learn to know more about yourself and others. You will also learn how to influence and predict your own behaviours as well as those of others. Within the context of a world of social media, AI, and machine learning, you will learn various organizational behaviour theories and concepts, and then apply them appropriately to real-life situations to make sense of human behaviours and human-robots interactions at work. This course adopts a flipped classroom approach, which will give you ample opportunity to share your knowledge with others and also learn with them collaboratively."
AB1003,5,Professional Attachment,
AB0602,4,Communication Management Strategies (HW0288),"The purpose of this course is to prepare you for the communication challenges that you are likely to meet in rapidly evolving global business environments. It will help you to present yourself confidently, persuasively, and professionally in the way you speak, write and participate in your chosen profession. AB0602 starts with the basic - and well-rounded - premise that Communication Theory, Strategies and Skills are all needed in a highly complementary way for today's young executives preparing for workplace effectiveness. Theory provides a conceptual framework that guides strategy and skills. Strategy allows communicators to make intelligent choices about content, organisation, style, tone, delivery, and timing of messages. Skills are needed to craft effective written documents, give constructive feedback, and create as well as deliver persuasive business presentations. Throughout, the emphasis is on the art of persuasion for effectiveness in the corporate context. In addition, the course addresses other new demands in today's work culture. One such emerging demand is the need for effective Small Group Communication, a skill valued for collaborative work and team building. As such, you will be trained to go beyond prepared presentations to help you operate effectively in contexts which require spontaneous yet formal communication. Such contexts include small talk, meetings, team briefings and group discussions. Another new demand comes with the prevalence of online communication. To prepare for this trend, you will be guided to enhance your Executive Presence (EP) in both face-to-face and online settings, with special emphasis on social media and personal branding. Building on the theoretical foundation provided by EP experts, you will learn how to be an effective communicator across each medium - in-person, written or virtually - and in diverse situations. Finally, this course also offers you the opportunity to acquire an understanding of the method of Principled Negotiation developed by the Harvard Negotiation Project. You will gain hands-on experience in negotiation through engagement in negotiation simulations. To sum up, this course is planned to align with the broader vision of preparing you well for the workplace and address the increasingly complex needs of industry. As Mr. Ong Ye Kung, speaking as Acting Minister for Education (Higher Education and Skills), has noted: 'IHLs (institutes of higher learning) must help students to build up their essential soft skills, such as interpersonal skills, working in teams and across cultures, the ability to communicate well, negotiate effectively, and be resourceful and enterprising.' Approximating the real-world work environment and culture to the extent possible for a course, the teaching approach consistently keeps the final outcome in mind: 'your development as a work-ready young executive able to operate in the corporate context with presence and persuasion.'"
AB2008,1,Careers II,"This course will help you in your career development journey and prepares you for your future career. You will understand yourself better, realise your strengths and plan and map your career aspirations. Through this course, you will also have a broader understanding of the diverse industries, market requirements and current and future job trends. You will also learn how to stand out on LinkedIn, build your brand and be equipped with networking skills to engage employers and the business community for internships and job opportunities."
BC2402,4,Designing & Developing Database (SC2207),"This course introduces participants to design, tools, techniques, and issues concerning the management of data. Data management is the foundation for organizations' business analytics; and for problem solving and decision-making. Participants will analyse a variety of business process, identify data requirements and develop an information system to support business processes and gather information for business analytics. In this course, participants will have an opportunity to apply their design and development competencies by implementing a database solution."
BC2406,4,Analytics I: Visual and Predictive Analytics,"Most organizations are data rich and information poor. The large volumes of data in an organization are 'oilfields' rich in information content that are pending extraction with the right tools and models. Analytics involves the art of data exploration, visualization, communication and the science of analyzing large quantities of data in order to discover meaningful patterns and useful insights to support decision-making. The primary objective of this course is to introduce students to various techniques available to extract useful insights from the large volumes of data. At the end of the course, students will not only see the substantial opportunities that exist in real world, but also learn techniques that allow them to exploit these opportunities. This course focus on the use of open source R software, which is one of the key analytics software used in various industries and a critical skillset required in the job market for analytics and data science professionals."
AB1201,3,Financial Management,"This course aims to provide business and accounting students with a broad understanding of all the important financial principles, concepts, and analytical tools. This is a first course in finance and is compulsory for all business and accounting students. For students intending to major in banking and finance, this course is an important foundation course in order to better prepare themselves for other advanced courses such as Advanced Corporate Finance, Financial Markets and Institutions, International Financial Management, Investments, Equity Securities, Fixed Income Securities, and Derivatives Securities."
BC2407,4,Analytics II: Advanced Predictive Analytics,"Previously, BC2406 introduced core concepts of Business Analytics and the important models in used by businesses and governments. However, there are more complex situations that require more sophisticated Analytics solutions. BC2407 is the continuation of BC2406. The main objective of BC2407 is to introduce students to advanced Analytics techniques to extract more useful and deeper insights under more complex realistic situations. At the end of the course, students will see the strengths and weaknesses of standard models, and learn advanced techniques to overcome the weaknesses in various scenarios. This course builds upon open source R software (as learnt in BC2406), and introduced a commercial software SAS, commonly used in Banks, Pharmaceuticals, MNCs and some government agencies. Students will learn the differences between R and SAS in both the model development phrase and in the standard software outputs."
AB1501,3,Marketing,"This course aims to provide you with the opportunity to learn and the application of the basic principles of marketing in the Singapore market. A good understanding of marketing, by itself and in relation to other disciplines, is critical for anyone interested in developing successful and sustainable business enterprises. Hence, this course is a foundational course for marketing that is suitable for all students interested in business and accountancy. At the end of this course, you will be able to develop suitable customer-driven strategies to take advantage of potential market opportunities and manage the marketing process."
AD2102,3,Management Accounting,"This course covers the strategic nature and relevance of managerial accounting for today's competitive business environment. The course adopts a unique user-perspective and emphasis is placed on the development of problem-solving and decision-making skills. Hence the course focuses on the use of essential managerial accounting tools and techniques to provide managerial accounting information for planning and control and to support effective economic decisions. The course also exposes students to real-life scenarios and gives students an opportunity to integrate theories to business practice. The course aims to equip students with analytical skills for problem solving and managerial skills for decision making. After the completion of this course, students should be equipped with a strong conceptual and technical knowledge in managerial accounting. Students should understand and appreciate how managerial accounting information support organizational planning and control, and day-to-day decision making."
AB3602,3,Strategic Management,"The purpose of the Strategic Management Course is to develop students' knowledge and skills to identify and evaluate the sources of superior firm performance through applying selected conceptual frameworks. Students will learn to analyse the external and internal environments of the firm, and formulate strategies with the consideration of good corporate governance. This course is appropriate for accounting and business students who have already taken entry-level courses in accounting ratio analyses, organizational behaviour, and marketing. Upon completion of the course, students will be able to critically analyse business issues from a strategic perspective such as why and how firms can achieve sustainable competitive advantages in a highly volatile and competitive global business environment."
HE5091,3,Principles of Economics,"Introduction. Demand and supply. Marginal reasoning and profit maximuzation. Market structure. Externality. Introduction to Macroeconomics. Keynesian Cross Model. Money, banking and financial Institutions. Aggregate demand and aggregate supply. Open economy. International trade."
HE1001,3,Microeconomics I,"The Singaporean Government is increasingly engaging the public, and as economists we are responsible for contributing towards better public decisions. This is especially important as good public policy processes place value on social impact, seeks to understand the behavior of Singapore's diverse society, and makes sense and use of increasingly abundant behavioral data. As the Singaporean economy gets more advanced and complex, and citizens get better educated and informed, we rely on decisions strengthened by sound economic thinking. The economist must move towards more rigorous reasoning across the levels of household, corporate, and public choice. In this course we apply fundamental microeconomic principles complemented by behavioral economics to various current everyday concerns in Singapore. The course aims to deliver a progressive and rigorous introduction to basic concepts and models of microeconomics, applied to current trends local and global. Microeconomics is one of the three core pillars of an Economics major. This is an important module that will serve as a prerequisite for almost all major PE modules. The first part of the course covers the theory of individual decision-making in consumption, risk and labor. The second part of the course covers the theory of firms making production decisions when operating under various market structures, in particular price discrimination with market power and strategic interactions between firms. This course will also expose students to new developments in the field of microeconomics which have now come to assume a central role, in particular behavioral economics. Students will learn basic theories that can be abstract and simple but yet so relevant and powerful in explaining decision problems in our everyday lives. On the one hand, it will give students with either no previous economics training a chance to close the gap with those with a stronger background. On the other hand, it will give everyone a chance to appreciate microeconomics in action right from the start of their education at NTU - a feature that is surprisingly amiss in many Economics undergraduate programs worldwide."
HE1002,3,Macroeconomics I,"The course aims to provide first-year college students with a sound understanding on the structure and functioning of the economy as a whole. As you are taking an introductory course, you are not expected to have any prior knowledge in economics. Instead, the principles you learn from this course will provide a solid foundation and develop a strong interest for your further study of intermediate and advanced macroeconomics."
HE2001,3,Microeconomics II,"Principals of Microeconomics has introduced basic concepts in market and discussed how markets work in general. The aim of this course is to deepen the understanding of behaviors in the market by further examining the decision process of economic agents and the implied welfare consequences. In the first half of the course, we focus on how individuals make their decisions in the market by discussing two broad topics. The first is the analysis of price and income changes in the market. This discussion builds on what have already been covered in Principals of Microeconomics. The second topic is individual decision-making regarding time, risk, and uncertainty where we will also examine how the asset market works. In the second half of the course, we focus on analysing the welfare effects of outcomes in markets and society. To this end, students will learn different measures of welfare and criteria for efficiency, and how perfectly competitive markets help achieve socially optimal outcomes. Subsequently, we will discuss the problems related to making choices for society and how these may be reconciled."
HE3001,3,Microeconomics III,"In HE1001 Microeconomics I and HE2001 Microeconomics II, we have covered the core tenets of decision making by firms and individuals, and how perfect competition translates this into efficient outcomes under specific conditions. The main aim of this course is to extend our framework to contexts with less than ?perfect? settings. We will first study the basics of game theory, analysing strategic interactions between small numbers of agents and discuss its applications. Subsequently, we will study various kinds of market frictions and how they can lead to sub-optimal outcomes in the market, covering possible solutions. This will include classical ones like asymmetric information, classical externalities and common access and also newer ones like information technology. Lastly, we will also introduce behavioural economics and how social and psychological elements can be applied to traditional topics in Economics.
"
HE2002,3,Macroeconomics II,The aim of the course is to enhance your understanding of modern developments in macroeconomic theory and offer fresh perspectives on the macroeconomic challenges of today.
MH1820,3,Introduction to Statistical Theory and Methods,This course provides a good foundation in probability and statistical inference. Basic ideas and methodologies in probability and statistics which are useful for economics students are introduced. It also aims to prepare students for higher level applied and theoretical econo-metric courses.
HE2003,3,Econometrics I,"Discussions of different estimations of the econometric models, their tests and their applications. Topics include the Simple Linear Regression Model, Generalized Linear Regression Models, Dummy variable models, dynamic models and introductory time series models. For each topic, illustrative examples will be employed during the lectures and tutorials."
HE3002,3,Macroeconomics III,This course aims to provide students a broad picture on the pattern of economic growth and development both over time and across countries in the world. It also plans to equip the students with the necessary theoretical tools to understand a set of seminal works and workhorse models in the literature that attempt to understand the empirical pattern.
HE3003,3,Econometrics II,"Topics covered include misspecification analysis, maximum likelihood and instrumental variable estimation, univariate time series analysis and autoregressive distributed lag models."
SC3026,5,Professional Attachment,
BF2219,3,Investment,"This is an introductory but demanding course in investments. This course endeavours to provide the basic understanding and tools to conduct portfolio analysis, make investment decisions, and manage portfolios. By the end of this course, students should have a broad understanding of investments and portfolio management. This course covers the analysis of various investment vehicles, allocation of assets, and modern portfolio theory. Students will learn valuation, portfolio construction and evaluation techniques, and apply investment techniques using Excel. Students are expected to review Financial Management. To maximize acquisition of new knowledge, the instructors will not cover overlapping topics with Financial Management, but these topics remain examinable."
BE2602,3,"Management in Principle, Skills & Competencies","Management Principles, Skills and Competencies is a comprehensive introductory course on the management process from a manager's perspective, with particular emphasis on the skills, competencies, techniques, and knowledge needed to successfully manage an organization. This course explores the basic concepts and processes of management. You will examine the fundamental roles and processes of planning, leading, organizing, and controlling that comprise the managers' role. It focuses on the entire organization from both a short and long-term perspective for strategic vision, setting objectives, crafting a strategy, and then implementing it. This course will enable you to develop short and long-range plans to effectively accomplish organizational goals. You will develop skills related to the manager's function as required in today's competitive environment. This course examines the logic and working of organizations. It also investigates how organizations develop and maintain competitive advantage within a changing business environment influenced by political, economic, social, technological, legal and environmental [PESTLE] factors. The course content is organized around the four `pillars' of management viz. planning, organizing, leading and control [POLC] for systematic understanding of management-related challenges and applying conceptual tools and techniques in analyzing, evaluating, and addressing management issues1. This course is for undergraduate students to be equipped with fundamental management principles, its application aspects and the essential managerial skills to be a future ready business leader"
BM2509,3,Consumer Insights,"This course will introduce you to key consumer behavior concepts, thus equipping you - as current or future managers - with the knowledge to discover insights as well as to evaluate and design effective marketing decisions. After the completion of this course, you should be able to understand the psychology of how consumers think, feel, reason, and choose between different alternatives (e.g., brands, products), how social and cultural environments (e.g., friends, family, and culture) influence consumer behaviour, and how marketers can use consumer insights to develop marketing campaigns/strategies to reach their target segments. You will also learn to appreciate the relevance of consumer behaviour for marketers and policymakers.
 "
BE1402,3,Business Operations & Process,"This course seeks to provide business and accountancy undergraduates with a rigorous appreciation of the issues and methodologies necessary for ensuring the competitiveness of the operations function in a firm. The course will be taken by first year business and accountancy undergraduates. The course takes an analytics-based 'process management' viewpoint while addressing a range of strategic and tactical issues. After completing this course, you will be able to understand the key tradeoffs required for designing, managing, and improving operations and processes in both manufacturing and service industries. This will give you a sound analytical background for further courses in Business Analytics Specialization, which in turn will prepare you for a future business career where you will be responsible for either managing operations or its interface with other business functions such as marketing, finance, accounting, human resources, and information technology."
BF2226,3,Trade Incoterms & Ship Chartering,"The aim of this course is to provide students with the foundational skills needed to negotiate for ocean freight transportation. Specifically, this course provides a solid foundation on how ocean freight transportation works and identify how the intricacies behind ocean freight contract negotiations will affect the profits and losses in international commodity trading."
BF2227,3,Commodity Markets,"The course aims to give students a solid understanding of commodities markets with primary focus on agriculture, metals and minerals and energy and chemicals. It focuses on fundamental concepts and terminology necessary for understanding commodity production, transportation, economics and marketing. It also educates students in trading technology trends and innovation and look into sustainability challenges and legal aspects."
BF3214,2,Commodities Trading,"This course aims to prepare you for a career in the global commodities markets by introducing you to global commodity market conventions, supply chains, risk management and investment techniques. It will also give you an understanding of the key industry participants and their role across the commodity supply chain. You will also gain valuable insight into market conventions, terminology and best practices in risk management."
BF2302,2,International Tax & Trading Law,"BF2302 International Tax and Trading Law introduces students to key income tax and legal concepts and principles of international taxation and trade law. Particular emphasis will be placed on the international tax and legal implications of the international trading of commodities. Relevant case law, the interpretation and application of tax treaties and recent international tax developments, including the OECD's Base Erosion and Profit Shifting (BEPS) Action Plan, will also be covered in the course. The Law segment will cover legal issues of international commercial transactions."
BF3226,2,Strategic Management in Commodity Markets,"The aim of this course is to provide students with a good understanding of the important blocks of leadership, crisis management, and sustainability to be successful in commodity trading and commodity markets."
BF3212,2,"Trade, Structured & Supply Chain Finance","This course aims to complements other learning obtained in respect of commodity trading, maritime arrangements and legal aspects. Together with the afore-mentioned topics, this course fills essential learning needs for aspirants seeking entry into careers in international trading and commercial banking. You will also learn about products, concepts & practices routinely applicable to the financing of international trade transactions"
BF3213,2,Enterprise Risk Management in Commodity Markets,"All organizations (especially commodities / energy trading organizations) face a wide range of enterprise risks. This course provides: i) an overview on the range of key risks that continue to challenge these firms ii) how to assess and identify existing and emerging risks facing these firms iii) how to maintain an effective risk management framework to monitor and manage such risks iv) Overview and analysis of basic risk management techniques Managing risk has never been so complex and regulated in a commodities / energy trading organization. Everyone in an organization (trading or non-trading, client facing traders/marketers or finance/IT teams) is expected to understand and manage risk across an organization. Anyone aspiring to have a career in trading, risk management or a job in a trading organization would find value in this course."
ET5211,3,Entrepreneurial Mindset & Technology Innovation,"This course will provide the fundamental knowledge in entrepreneurship and innovation, with the special focus in training the students to develop the entrepreneurial mindset and exposing them to various technology innovation. Specific technology expertise will be brought to the classes to share their knowledge, real life experience, and industry insights. Students will be trained to ask: what are the applications of the new technology, how to use it, who will find it useful, where are the main users, who will pay for it, how to commercialize it?"
ET5213,3,Managing New Ventures,"This course aims to help the students relate theoretical concepts of strategy and organization design with practical and execution issues of manging new ventures in today's economy. Strategies for new venture development and key elements that propel scaling up as well as impede growth will be explored. You will understand the process from starting a new venture to the growth and development of the venture, as well as concepts such as entrepreneurial motivation, new venture types, competitive analysis, go-to market strategies, raising funds for start-ups, harnessing human capital, and execute operations for sustainable growth."
ET5212,3,Entrepreneurial Ecosystems,"Upon completion of this course, you will know how to recognize and evaluate new venture opportunities; will understand the issues faced by entrepreneurs when starting a venture; and will have the fundamental skills and tools required for starting and growing a new business. In addition, you will know and understand the difference between an opportunity and an idea; the value proposition and how it applies to a new venture; the need for sustainable competitive advantage; and the methods to estimate profitability of a new venture. Finally, you will be able to better assess your potential and interest in becoming an entrepreneur."
ET5214,3,Financing Entrepreneurial Ventures,"This course focuses on the special and unique considerations when planning the funding needs of new and young ventures. Many typical avenues of raising funds (such as bank borrowing, issuance of bonds or liquid equities) for established or public-listed companies are usually not available to new and young ventures due to the latter?s lack of business track records. Hence, alternative fund raising avenues for new and young ventures need to be addressed. The analyses and requirements of professional investors in new and young ventures, in particular the venture capital funds, are very different from that of the public-equity investors or fund managers. This course will enable you to learn the approach to raising funds from the professional investors, and to understand the unique requirements of the venture capital funds, so as to enhance the probability of securing funding for your venture. This course is not only relevant for would-be entrepreneurs, but will also benefit students who intend to pursue a career in the venture capital industry or in corporate venture investments."
MH1100,4,Calculus I ,"This core mathematical course aims to provide an introduction to the fundamental mathematical concepts (functions, limits, continuity, derivatives and integrals). Computation of derivatives (sum, product, and quotient formulas, chain rule, and implicit differentiation), and application of derivatives to optimization problems and related rates of change problems will also be discussed. This course lays the foundation for more advanced studies in mathematics, physics, engineering, and other related subjects. List of key topics taught 1. Functions 2. Limit and limit laws 3. Continuity 4. Derivatives and derivative function 5. Differentiation formulas 6. Trigonometric derivatives and chain rules 7. Implicit differentiation 8. Linear approximation and extreme values 9. Mean value theorem 10. Limit and infinity 11. Curve sketching 12. Optimization and Newton?s method 13. Antiderivatives
 "
MH1200,4,Linear Algebra I ,"This is a core course for mathematics students and a suitable elective for engineering students. This course provides a grounding on vectors, matrices, and solving systems of linear equations that is fundamental for future mathematics courses and also many practical applications. The course begins by introducing vectors and matrices, and basic operations on them. We then move into the fundamental topic of solving system of linear equations and learn the Gaussian elimination algorithm, an idea that pervades the entire course. In the second half of the course we revisit these ideas in a more abstract way, learning about general vector spaces, linear independence, and the fundamental subspaces associated with a matrix. These ideas are then applied to finding the least squares solution to an inconsistent system of linear equations."
MH1300,4,Foundation of Mathematics,"Introductory course on core mathematical concepts, including logic and the theory of sets. Topics include: elementary logic, mathematical statements, and quantified statements; sets, operations on sets, Cartesian products, and properties of sets; natural numbers, integers, rational numbers, real numbers, and complex numbers; relations, equivalence relations, and equivalence classes; functions, injective and surjective functions, inverse functions, and composition of functions; division algorithm, greatest common divisor, Euclidean algorithm, fundamental theorem of arithmetic, modulo arithmetic."
MH1101,4,Calculus III,"Further topics in calculus. Topics include: definite integrals; the Fundamental Theorems of Calculus; area of plane regions, volumes of solids, length of arcs; the Mean Value Theorem for integrals; techniques of integration, numerical integration, and improper integrals; monotonic and bounded sequences, Newton's method, infinite series, tests for convergence and divergence, alternating series, and absolute/conditional convergence criteria; differentiation and integration of power series, Taylor series, binomial series, and Fourier series."
